fendre, être fêlé;ceqqeq;
fendu;ceqqeq;
armoise;cih’;
absinthe;cih’;
chercher des histoires;cihwi;
en vouloir - à quelqu’un -;cihwi;
myrtilles - fruits -;cilmun;
escarpement;ciqer;
symptôme;cira;
pelote;cirett;
schiste ardoisier;cirra;
frissonner;cirrew;
avoir l;cirrew;
fente;migraine;ceqqiq;
mal chair de poule;ceqqiq;
partie de la robe au-dessus d;ciwi;
débris;ceqquf;
tesson;ceqquf;
adj. usé;n. tissage lâche;cerbal;
la ceinture;cerbal;
giron;cerbal;
maître;cix;
enseignant;cix;
garnir de volants - robe-;cercef;
volants  d’une  robe;cercif;
selma;cercif;
bourrache;cix-el-bqul;
s’accrocher désespérément;ckenber;
se coller;ckintedh;
s’accrocher;ckintedh;
chêne vert;ckir;
trou;clalt;
charançon;cluc;
tente;cluh’;
se désagréger;clulef;
sourire;cmumeh’;
le chant;cna;
roquette - plante -;cnaf;
chanter;cnu;
intéresser;cqu;
A. peu;cra;
un peu;cra;
vaccination;cradh;
tatouage;credht;
vin;crhab;
boisson alcoolisée;crhab;
serf;crik;
associé;crik;
trottiner;crured;
marcher à petits pas;crured;
scintiller;crureq;
breloque;crurt;
frange;crurt;
ressentir  la  privation;ctiq;
c’est pourquoi;daghnetta;
autrement dit;daghnetta;
ici;dagi;
là;dagi;
dagini : voir dag;dagini;
là;dahi;
dakel : voir duke;dakel;
intérieur de la main;dakwemt;
poigne;dakwemt;
poignée de main;dakwemt;
vigne;dalya;
semi-obscurité;damcact;
économie;damsa;
rang;dar;
rangée;dar;
être à l’abri;dari;
se mettre à l’abri;dari;
auvent;darit;
buisson;darnu;
soigner;dawi;
que ça;daya;
que cela;daya;
toujours;dayem;
ça y est;dayen;
ça  suffit  !;dayen;
c’est pourquoi;daymi;
être vermoulu;cuc;
se baigner;cucef;
prendre un bain;cucef;
attacher;cudd;
lier;cudd;
attache;cuddu;
action d’attacher;cuddu;
gonfler;cuff;
oreillons - maladie -;cuff-mejjir;
gonflement;cuffu;
soupçonner;cukket;
porter malheur;cum;
sentir;cumm;
2. chiquer;cumm;
priser;cumm;
trouble;cwal;
discorde;cwal;
double panier porté sur âne ou mulet;cwari;
heureusement;cwi;
peu;cwidt;
un peu;cwidt;
presque;cwidt;
écurie;daynin;
partie de la maison ou on attache les animaux domestiques;daynin;
thapsia - plante -;dbib;
je viendrai - ici -;dd;
assez;ddeqs;
assez longtemps;ddeqs;
suffisamment;ddeqs;
être habitué;deäen;
s’habituer;deäen;
myope;deämamac;
qui a la vue faible;deämamac;
se débrouiller;debberh;
se procurer;debberh;
massue;debbuz;
gourdin;pouce;debbuz;
épiploon;debbwarh;
c’est un malade, d a mudhin;
ici;da;
là;da;
qu’est ce que;dacu;
ce que;dacu;
que;dacu;
mon grand frère;dadda;
marcher;:;
aussi;daghen;
encore;daghen;
plaie;deddi;
enf. bobo;deddic;
égratignure;deddic;
neige;defel;
progéniture;defert;
descendance;defert;
enfants;defert;
à;deg;
dans;deg;
en;deg;
depuis;deg;
